date,open,high,low,close,volume,position,s,settlement
2023-03-31,692.5,701.25,681.0,691.5,0,0,0.0,0
2023-04-03,697.0,710.0,691.5,695.5,0,0,0.0,0
2023-04-04,697.0,701.5,688.0,691.5,0,0,0.0,0
2023-04-05,693.0,693.25,675.0,680.0,0,0,0.0,0
2023-04-06,682.25,685.0,671.25,675.25,0,0,0.0,0
2023-04-10,684.5,687.5,668.25,679.75,0,0,0.0,0
2023-04-11,680.25,686.0,666.25,673.25,0,0,0.0,0
2023-04-12,673.0,683.75,673.0,678.5,0,0,0.0,0
2023-04-13,680.75,680.75,664.5,667.0,0,0,0.0,0
2023-04-14,668.75,685.25,661.25,684.75,0,0,0.0,0
2023-04-17,695.0,707.75,685.25,705.75,0,0,0.0,0
2023-04-18,704.25,717.25,700.5,708.75,0,0,0.0,0
2023-04-19,709.25,710.0,692.0,692.25,0,0,0.0,0
2023-04-20,695.0,696.0,678.25,680.25,0,0,0.0,0
2023-04-21,681.25,685.75,669.0,673.25,0,0,0.0,0
2023-04-24,679.0,682.0,656.75,657.5,0,0,0.0,0
2023-04-25,657.0,660.5,642.5,653.25,0,0,0.0,0
2023-04-26,653.75,657.75,641.0,641.5,0,0,0.0,0
2023-04-27,643.75,645.5,625.5,630.25,0,0,0.0,0
2023-04-28,630.5,639.0,624.25,633.0,0,0,0.0,0
2023-05-01,633.5,635.25,613.75,618.0,0,0,0.0,0
2023-05-02,620.0,626.5,607.5,610.25,0,0,0.0,0
2023-05-03,609.25,642.25,603.75,641.0,0,0,0.0,0
2023-05-04,642.0,650.75,629.25,644.25,0,0,0.0,0
2023-05-05,646.0,663.5,643.75,658.75,0,0,0.0,0
2023-05-08,662.0,669.0,652.25,652.25,0,0,0.0,0
2023-05-09,653.25,653.75,633.0,644.0,0,0,0.0,0
2023-05-10,643.75,647.75,629.75,640.0,0,0,0.0,0
2023-05-11,640.0,640.75,625.5,627.25,0,0,0.0,0
2023-05-12,628.0,654.0,626.0,634.75,0,0,0.0,0
2023-05-15,635.0,663.75,632.5,662.5,0,0,0.0,0
2023-05-16,661.75,664.25,640.0,647.0,0,0,0.0,0
2023-05-17,646.75,654.25,616.0,623.25,0,0,0.0,0
2023-05-18,626.25,626.5,605.5,610.75,0,0,0.0,0
2023-05-19,611.0,620.75,602.0,604.75,0,0,0.0,0
2023-05-22,607.75,613.75,596.25,605.5,0,0,0.0,0
2023-05-23,607.5,624.75,594.25,622.5,0,0,0.0,0
2023-05-24,621.0,624.5,602.25,605.0,0,0,0.0,0
2023-05-25,607.0,616.5,599.0,605.75,0,0,0.0,0
2023-05-26,606.0,618.5,602.5,617.25,0,0,0.0,0
2023-05-30,616.75,616.75,588.75,590.0,0,0,0.0,0
2023-05-31,591.5,595.0,573.25,593.5,0,0,0.0,0
2023-06-01,594.25,617.5,593.0,611.0,0,0,0.0,0
2023-06-02,610.25,622.5,602.25,620.0,0,0,0.0,0
2023-06-05,621.5,631.5,615.5,624.5,0,0,0.0,0
2023-06-06,624.25,648.0,621.25,627.25,0,0,0.0,0
2023-06-07,626.5,635.5,613.25,615.75,0,0,0.0,0
2023-06-08,616.0,629.0,611.25,625.75,0,0,0.0,0
2023-06-09,624.5,632.25,618.5,630.75,0,0,0.0,0
2023-06-12,629.75,638.75,622.25,634.5,0,0,0.0,0
2023-06-13,634.5,649.25,626.75,635.5,0,0,0.0,0
2023-06-14,638.0,639.0,625.0,630.25,0,0,0.0,0
2023-06-15,629.0,665.25,628.25,662.0,0,0,0.0,0
2023-06-16,659.75,697.0,656.0,686.5,0,0,0.0,0
2023-06-20,687.0,700.0,676.25,695.25,0,0,0.0,0
2023-06-21,713.0,748.75,712.75,748.0,0,0,0.0,0
2023-06-22,742.5,760.75,739.0,753.0,0,0,0.0,0
2023-06-23,750.5,751.25,732.75,742.75,0,0,0.0,0
2023-06-26,747.5,770.25,733.0,736.0,0,0,0.0,0
2023-06-27,739.0,742.0,695.5,697.5,0,0,0.0,0
2023-06-28,698.5,706.25,667.5,668.5,0,0,0.0,0
2023-06-29,669.75,678.0,664.5,668.25,0,0,0.0,0
2023-06-30,669.25,680.75,646.0,646.0,0,0,0.0,0
2023-07-03,649.0,655.75,638.0,639.25,0,0,0.0,0
2023-07-05,649.75,680.0,646.25,673.5,0,0,0.0,0
2023-07-06,673.75,674.0,651.75,656.5,0,0,0.0,0
2023-07-07,656.75,662.0,643.75,651.25,0,0,0.0,0
2023-07-10,649.5,660.0,642.25,645.75,0,0,0.0,0
2023-07-11,645.25,665.25,644.0,659.5,0,0,0.0,0
2023-07-12,658.0,662.5,632.0,633.25,0,0,0.0,0
2023-07-13,633.5,644.75,622.0,639.75,0,0,0.0,0
2023-07-14,639.5,663.25,637.75,660.0,0,0,0.0,0
2023-07-17,666.0,689.25,651.0,653.25,0,0,0.0,0
2023-07-18,649.25,675.0,642.25,669.0,0,0,0.0,0
2023-07-19,669.0,730.75,664.0,725.5,0,0,0.0,0
2023-07-20,725.0,750.75,711.25,727.5,0,0,0.0,0
2023-07-21,724.75,733.25,693.5,696.0,0,0,0.0,0
2023-07-24,702.0,757.5,698.75,757.5,0,0,0.0,0
2023-07-25,754.25,777.25,736.5,761.0,0,0,0.0,0
2023-07-26,757.0,757.5,709.0,719.75,0,0,0.0,0
2023-07-27,723.25,740.0,711.75,712.75,0,0,0.0,0
2023-07-28,714.75,720.25,689.0,703.25,0,0,0.0,0
