date,station,lat,lon,temp_C,precip_mm
20100502,长春,43.82,125.32,12.12,0.06
20100503,长春,43.82,125.32,11.43,0.0
20100504,长春,43.82,125.32,13.85,3.73
20100505,长春,43.82,125.32,14.04,52.06
20100506,长春,43.82,125.32,8.43,13.19
20100507,长春,43.82,125.32,9.52,4.26
20100508,长春,43.82,125.32,11.27,0.0
20100509,长春,43.82,125.32,11.22,0.69
20100510,长春,43.82,125.32,8.6,12.04
20100511,长春,43.82,125.32,8.89,0.84
20100512,长春,43.82,125.32,9.73,0.1
20100513,长春,43.82,125.32,12.85,0.0
20100514,长春,43.82,125.32,15.9,0.01
20100515,长春,43.82,125.32,15.26,5.39
20100516,长春,43.82,125.32,17.02,0.0
20100517,长春,43.82,125.32,14.63,4.12
20100518,长春,43.82,125.32,15.7,9.74
20100519,长春,43.82,125.32,15.26,3.89
20100520,长春,43.82,125.32,16.54,0.05
20100521,长春,43.82,125.32,20.5,0.0
20100522,长春,43.82,125.32,20.72,0.0
20100523,长春,43.82,125.32,19.19,0.07
20100524,长春,43.82,125.32,15.72,9.37
20100525,长春,43.82,125.32,18.34,0.19
20100526,长春,43.82,125.32,17.51,0.0
20100527,长春,43.82,125.32,20.76,0.09
20100528,长春,43.82,125.32,17.46,5.08
20100529,长春,43.82,125.32,14.62,1.81
20100530,长春,43.82,125.32,16.48,7.76
20100531,长春,43.82,125.32,17.26,3.89
20100601,长春,43.82,125.32,20.8,0.14
20100602,长春,43.82,125.32,21.75,0.07
20100603,长春,43.82,125.32,21.34,0.01
20100604,长春,43.82,125.32,21.8,0.02
20100605,长春,43.82,125.32,21.7,0.0
20100606,长春,43.82,125.32,21.29,0.0
20100607,长春,43.82,125.32,23.14,0.0
20100608,长春,43.82,125.32,24.29,0.0
20100609,长春,43.82,125.32,26.26,0.0
20100610,长春,43.82,125.32,27.83,0.0
20100611,长春,43.82,125.32,25.43,1.48
20100612,长春,43.82,125.32,20.61,2.46
20100613,长春,43.82,125.32,22.51,0.11
20100614,长春,43.82,125.32,22.39,0.26
20100615,长春,43.82,125.32,20.86,6.0
20100616,长春,43.82,125.32,22.04,5.58
20100617,长春,43.82,125.32,23.52,2.13
20100618,长春,43.82,125.32,25.43,2.06
20100619,长春,43.82,125.32,21.47,11.26
20100620,长春,43.82,125.32,20.12,0.08
20100621,长春,43.82,125.32,17.34,0.15
20100622,长春,43.82,125.32,19.02,0.34
20100623,长春,43.82,125.32,22.57,0.0
20100624,长春,43.82,125.32,25.99,0.0
20100625,长春,43.82,125.32,27.86,0.0
20100626,长春,43.82,125.32,27.72,0.03
20100627,长春,43.82,125.32,24.91,2.7
20100628,长春,43.82,125.32,24.44,2.43
20100629,长春,43.82,125.32,23.97,5.16
20100630,长春,43.82,125.32,25.02,0.92
20100701,长春,43.82,125.32,24.47,10.26
20100702,长春,43.82,125.32,24.33,6.94
20100703,长春,43.82,125.32,24.45,1.02
20100704,长春,43.82,125.32,22.79,6.99
20100705,长春,43.82,125.32,21.53,7.98
20100706,长春,43.82,125.32,19.98,3.73
20100707,长春,43.82,125.32,20.46,1.87
20100708,长春,43.82,125.32,19.04,17.74
20100709,长春,43.82,125.32,21.21,1.91
20100710,长春,43.82,125.32,21.57,2.41
20100711,长春,43.82,125.32,21.78,2.23
20100712,长春,43.82,125.32,22.47,1.58
20100713,长春,43.82,125.32,23.53,2.91
20100714,长春,43.82,125.32,24.82,0.22
20100715,长春,43.82,125.32,24.5,2.6
20100716,长春,43.82,125.32,23.6,1.15
20100717,长春,43.82,125.32,25.01,0.28
20100718,长春,43.82,125.32,24.11,1.55
20100719,长春,43.82,125.32,25.16,1.17
20100720,长春,43.82,125.32,23.15,41.51
20100721,长春,43.82,125.32,22.67,16.52
20100722,长春,43.82,125.32,22.91,3.96
20100723,长春,43.82,125.32,24.15,2.66
20100724,长春,43.82,125.32,24.92,14.28
20100725,长春,43.82,125.32,24.08,20.62
20100726,长春,43.82,125.32,22.9,5.71
20100727,长春,43.82,125.32,21.7,14.88
20100728,长春,43.82,125.32,21.04,52.04
20100729,长春,43.82,125.32,21.06,0.0
20100730,长春,43.82,125.32,23.32,0.01
20100731,长春,43.82,125.32,21.71,2.29
20100801,长春,43.82,125.32,19.5,0.0
20100802,长春,43.82,125.32,21.29,0.0
20100803,长春,43.82,125.32,21.42,0.57
20100804,长春,43.82,125.32,22.96,12.74
20100805,长春,43.82,125.32,22.12,54.98
20100806,长春,43.82,125.32,20.84,0.02
20100807,长春,43.82,125.32,21.33,0.02
20100808,长春,43.82,125.32,19.21,9.02
20100809,长春,43.82,125.32,20.93,26.33
20100810,长春,43.82,125.32,20.6,1.37
20100811,长春,43.82,125.32,21.85,0.4
20100812,长春,43.82,125.32,23.15,0.25
20100813,长春,43.82,125.32,24.51,0.16
20100814,长春,43.82,125.32,22.95,15.93
20100815,长春,43.82,125.32,20.73,0.18
20100816,长春,43.82,125.32,20.83,0.26
20100817,长春,43.82,125.32,22.27,0.1
20100818,长春,43.82,125.32,23.62,0.05
20100819,长春,43.82,125.32,23.66,28.49
20100820,长春,43.82,125.32,22.1,4.33
20100821,长春,43.82,125.32,20.84,0.2
20100822,长春,43.82,125.32,17.23,13.27
20100823,长春,43.82,125.32,18.97,0.05
20100824,长春,43.82,125.32,20.37,0.01
20100825,长春,43.82,125.32,19.62,0.0
20100826,长春,43.82,125.32,20.65,0.01
20100827,长春,43.82,125.32,20.21,8.78
20100828,长春,43.82,125.32,21.96,7.31
20100829,长春,43.82,125.32,20.7,12.38
20100830,长春,43.82,125.32,18.66,1.63
20100831,长春,43.82,125.32,18.67,0.0
20100901,长春,43.82,125.32,19.0,0.0
20100902,长春,43.82,125.32,19.51,0.0
20100903,长春,43.82,125.32,18.69,0.23
20100904,长春,43.82,125.32,20.18,0.07
20100905,长春,43.82,125.32,20.34,0.08
20100906,长春,43.82,125.32,20.17,0.09
20100907,长春,43.82,125.32,13.5,0.0
20100908,长春,43.82,125.32,14.5,0.0
20100909,长春,43.82,125.32,18.1,0.0
20100910,长春,43.82,125.32,20.31,0.39
20100911,长春,43.82,125.32,20.58,0.99
20100912,长春,43.82,125.32,19.9,0.34
