date,symbol,spot_price,near_contract,near_contract_price,dominant_contract,dominant_contract_price,near_month,dominant_month,near_basis,dom_basis,near_basis_rate,dom_basis_rate
20220429,C,2800.0,c2205,2943.0,c2209,3044.0,2205,2209,143.0,244.0,0.0510714285714286,0.0871428571428571
20220505,C,2802.86,c2205,2916.0,c2209,3022.0,2205,2209,113.13999999999989,219.13999999999987,0.0403659119613537,0.0781844259078226
20220506,C,2802.86,c2205,2890.0,c2209,2991.0,2205,2209,87.13999999999987,188.13999999999987,0.0310896726914651,0.0671242944706478
20220509,C,2822.86,c2205,2902.0,c2209,2988.0,2205,2209,79.13999999999987,165.13999999999987,0.0280353967253068,0.0585009529342581
20220510,C,2825.71,c2205,2882.0,c2209,2964.0,2205,2209,56.28999999999997,138.28999999999996,0.0199206571091867,0.0489399124467833
20220511,C,2830.0,c2205,2875.0,c2209,2967.0,2205,2209,45.0,137.0,0.0159010600706712,0.0484098939929329
20220512,C,2832.86,c2205,2890.0,c2209,2972.0,2205,2209,57.13999999999987,139.13999999999987,0.02017042847158,0.049116440628905
20220513,C,2832.86,c2205,2890.0,c2209,2993.0,2205,2209,57.13999999999987,160.13999999999987,0.02017042847158,0.0565294437423662
20220516,C,2834.29,c2205,2896.0,c2209,3000.0,2205,2209,61.71000000000004,165.71000000000004,0.0217726485292613,0.0584661414322458
20220517,C,2837.14,c2205,2914.0,c2209,3010.0,2205,2209,76.86000000000013,172.86000000000013,0.0270906617227209,0.0609275538041831
20220518,C,2838.57,c2205,2914.0,c2209,3007.0,2205,2209,75.42999999999984,168.42999999999984,0.0265732393423447,0.0593362150660368
20220519,C,2840.0,c2207,2947.0,c2209,2998.0,2207,2209,107.0,158.0,0.037676056338028,0.0556338028169014
20220520,C,2840.0,c2207,2959.0,c2209,3010.0,2207,2209,119.0,170.0,0.0419014084507043,0.0598591549295774
20220523,C,2840.0,c2207,2935.0,c2209,2984.0,2207,2209,95.0,144.0,0.033450704225352,0.0507042253521126
20220524,C,2840.0,c2207,2910.0,c2209,2955.0,2207,2209,70.0,115.0,0.0246478873239437,0.0404929577464787
20220525,C,2840.0,c2207,2900.0,c2209,2943.0,2207,2209,60.0,103.0,0.0211267605633802,0.0362676056338027
20220526,C,2831.43,c2207,2893.0,c2209,2936.0,2207,2209,61.57000000000016,104.57000000000016,0.0217451958904157,0.0369318683492088
20220527,C,2828.57,c2207,2901.0,c2209,2944.0,2207,2209,72.42999999999984,115.42999999999984,0.025606578589181,0.0408086064689932
20220530,C,2828.57,c2207,2875.0,c2209,2922.0,2207,2209,46.42999999999984,93.42999999999984,0.016414654754876,0.0330308247630426
20220531,C,2828.57,c2207,2886.0,c2209,2935.0,2207,2209,57.42999999999984,106.42999999999984,0.0203035456078513,0.0376267866801951
20220601,C,2828.57,c2207,2833.0,c2209,2875.0,2207,2209,4.429999999999836,46.42999999999984,0.0015661624071525,0.016414654754876
20220602,C,2828.57,c2207,2838.0,c2209,2875.0,2207,2209,9.429999999999836,46.42999999999984,0.0033338400675959,0.016414654754876
